Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.867031e+02,-4.730695e+02,-4.788413e+02,-4.829640e+02,-4.773390e+02,-4.127593e+02,-3.355059e+02,-2.891760e+02,-2.577373e+02,-2.309560e+02,-2.099118e+02,-1.855865e+02,-1.479328e+02,-1.094768e+02,-9.318736e+01,-1.065058e+02,-9.196295e+01,-7.860981e+01,-8.869699e+01,-1.316401e+02,-1.998146e+02,-2.771148e+02,-3.470896e+02,-4.141674e+02,-4.635077e+02,-4.891809e+02
3.867422e+01,5.079123e+01,4.174877e+01,3.873927e+01,4.539798e+01,1.038881e+02,1.292342e+02,1.342767e+02,1.273945e+02,1.125473e+02,1.028823e+02,9.318881e+01,1.022283e+02,9.240262e+01,7.505853e+01,7.645259e+01,8.343844e+01,9.743250e+01,1.190798e+02,1.397690e+02,1.597648e+02,1.645359e+02,1.524330e+02,1.035380e+02,5.636806e+01,3.521234e+01
1.393791e+01,1.361057e+01,6.100083e+00,7.503080e+00,1.288686e+01,3.646227e+01,1.883299e+01,-2.385582e+00,-1.526194e+01,-2.556061e+01,-2.998260e+01,-4.235352e+01,-5.526823e+01,-6.536914e+01,-7.193920e+01,-6.507191e+01,-7.530613e+01,-8.327767e+01,-7.652483e+01,-5.297053e+01,-2.414177e+01,2.619910e+00,1.442858e+01,1.399349e+01,7.416308e+00,1.240475e+01
-3.586519e+00,-7.828798e+00,-8.121315e+00,-6.154499e+00,-2.147891e+00,2.031489e+01,3.871064e+01,4.311793e+01,3.949756e+01,4.048916e+01,3.723153e+01,3.441284e+01,2.706557e+01,6.878510e+00,-3.264382e+00,-8.801213e+00,-2.120577e+01,-3.074315e+01,-4.521190e+01,-5.465586e+01,-5.151867e+01,-4.039145e+01,-3.873271e+01,-2.369458e+01,-1.336403e+01,3.812943e-01
-5.706178e+00,-5.668501e+00,4.669826e-01,4.479882e-01,1.623280e+00,1.219659e+01,1.163480e+01,9.731896e+00,1.864391e+00,-8.266976e+00,-1.374842e+01,-1.830826e+01,-3.291664e+01,-4.582780e+01,-4.629045e+01,-4.138458e+01,-4.892204e+01,-5.211906e+01,-5.303840e+01,-4.927304e+01,-3.386393e+01,-1.454536e+01,-9.817400e+00,-5.157892e+00,-2.661006e+00,3.949938e+00
6.685796e-01,2.700132e+00,8.205070e+00,7.664274e+00,8.241171e+00,-7.651535e-01,-8.086535e+00,-1.121256e+01,-6.083245e+00,-3.275532e+00,6.944212e+00,1.273908e+01,1.337728e+01,2.914366e+01,4.494047e+01,5.409199e+01,7.015361e+01,6.867880e+01,6.568227e+01,5.514771e+01,3.969793e+01,2.251754e+01,9.704126e+00,1.034701e+01,7.788626e+00,1.033298e+01
6.613102e+00,5.188148e+00,6.799860e+00,6.826084e+00,8.368855e+00,-1.111333e+01,-1.006679e+01,-1.045291e+01,-1.369113e+01,-1.585501e+01,-1.891608e+01,-2.338055e+01,-2.719783e+01,-3.939614e+01,-4.793381e+01,-4.875790e+01,-4.758531e+01,-5.108920e+01,-4.803352e+01,-4.645000e+01,-3.812887e+01,-2.604074e+01,-1.081003e+01,4.714391e-02,5.260747e+00,9.766509e+00
9.308399e+00,5.598867e+00,5.707641e+00,5.149557e+00,6.327584e+00,-1.334582e+01,-1.091405e+01,-3.562857e+00,6.464330e+00,6.938070e+00,1.225136e+01,1.349282e+01,2.613074e+01,3.304356e+01,3.456804e+01,2.913000e+01,2.552819e+01,1.919852e+01,1.541064e+01,1.174954e+01,4.649358e+00,1.433979e+00,-1.691380e+00,-8.936265e+00,3.522200e+00,5.608001e+00
8.317383e+00,6.963093e+00,6.540851e+00,5.343185e+00,5.181867e+00,-1.116789e+01,-1.545490e+01,-1.675210e+01,-1.439895e+01,-1.128575e+01,-4.857127e+00,-5.933501e+00,5.730665e+00,9.186613e+00,6.902793e+00,1.752394e+00,-1.988541e+00,-7.577991e+00,-7.474159e+00,-7.824989e+00,-9.677971e+00,-4.290005e+00,2.496842e+00,-1.306272e+00,8.723074e+00,3.968679e+00
2.642519e+00,3.801777e+00,1.558890e+00,1.430493e+00,-1.248428e-01,-1.904733e+01,-2.473711e+01,-2.478469e+01,-1.945572e+01,-2.020269e+01,-2.643235e+01,-2.764704e+01,-2.259022e+01,-1.188632e+01,-4.496137e+00,2.237143e+00,1.076719e+01,1.322793e+01,1.553678e+01,1.521362e+01,1.015944e+01,1.250375e+01,1.167618e+01,6.754747e+00,1.012179e+01,3.749046e+00
-5.454237e+00,-5.004276e+00,-7.533141e+00,-6.541840e+00,-6.275534e+00,-1.854331e+01,-1.388857e+01,-5.901438e+00,2.623258e+00,9.003936e-01,-3.654785e+00,-7.554609e+00,-9.353983e+00,-1.401582e+01,-1.956236e+01,-2.193964e+01,-1.306950e+01,-4.079689e+00,-1.672862e+00,1.896225e+00,8.227088e+00,5.340244e+00,1.048268e+00,2.454887e+00,2.331895e+00,1.165976e+00
-9.747664e+00,-1.051349e+01,-1.035107e+01,-1.000965e+01,-6.330896e+00,-1.071703e+01,-5.041410e+00,-1.066812e+00,-1.416075e+00,-2.275933e+00,-8.429919e+00,-7.823609e+00,-5.977279e+00,-6.113596e+00,-5.290715e+00,-7.342242e+00,-1.765687e+01,-1.632100e+01,-1.592909e+01,-1.875838e+01,-1.562981e+01,-1.309595e+01,-8.642869e+00,-6.380641e+00,-6.295044e+00,-2.787417e+00
-7.334373e+00,-7.466916e+00,-5.568094e+00,-5.828762e+00,-3.181670e+00,-1.203157e+01,-1.349102e+01,-1.335644e+01,-1.983643e+01,-2.723899e+01,-3.440842e+01,-3.120652e+01,-2.795628e+01,-2.432133e+01,-2.200149e+01,-2.353506e+01,-2.121092e+01,-1.695379e+01,-1.467061e+01,-1.210128e+01,-1.322951e+01,-4.660138e+00,-6.121689e+00,-9.175644e+00,-8.423717e+00,-4.692926e+00
